1,00:00:23,0,"0,00 %","33,33 %","0,00 US$"
3,00:00:19,0,"0,00 %","0,00 %","0,00 US$"
3,00:00:07,0,"0,00 %","33,33 %","0,00 US$"
2,00:00:07,0,"0,00 %","0,00 %","0,00 US$"
2,00:00:08,0,"0,00 %","66,67 %","0,00 US$"
1,00:00:08,0,"0,00 %","0,00 %","0,00 US$"
2,00:00:14,0,"0,00 %","0,00 %","0,00 US$"
1,00:02:54,0,"0,00 %","33,33 %","0,00 US$"
3,00:00:18,0,"0,00 %","0,00 %","0,00 US$"
3,00:00:13,0,"0,00 %","33,33 %","0,00 US$"
3,00:00:07,0,"0,00 %","66,67 %","0,00 US$"
2,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
2,00:00:32,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:11,0,"0,00 %","50,00 %","0,00 US$"
1,00:01:18,0,"0,00 %","0,00 %","0,00 US$"
2,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
1,00:03:25,0,"0,00 %","50,00 %","0,00 US$"
2,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
1,00:00:03,0,"0,00 %","0,00 %","0,00 US$"
2,00:00:03,0,"0,00 %","50,00 %","0,00 US$"
2,00:00:02,0,"0,00 %","50,00 %","0,00 US$"
2,00:02:35,0,"0,00 %","0,00 %","0,00 US$"
2,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
2,00:00:34,1,"100,00 %","50,00 %","0,00 US$"
2,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
1,00:00:09,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:31,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:12,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:04,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:17,0,"0,00 %","50,00 %","0,00 US$"
1,00:00:28,0,"0,00 %","50,00 %","0,00 US$"
2,00:12:02,1,"0,00 %","50,00 %","0,00 US$"
2,00:00:30,0,"0,00 %","0,00 %","0,00 US$"
2,00:00:18,1,"0,00 %","0,00 %","0,00 US$"
1,00:00:13,0,"0,00 %","0,00 %","0,00 US$"
2,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
1,00:06:28,0,"0,00 %","0,00 %","0,00 US$"
2,00:02:02,0,"0,00 %","0,00 %","0,00 US$"
2,00:02:05,0,"0,00 %","0,00 %","0,00 US$"
2,00:00:23,0,"0,00 %","0,00 %","0,00 US$"
2,00:00:16,0,"0,00 %","50,00 %","0,00 US$"
2,00:03:31,0,"0,00 %","50,00 %","0,00 US$"
2,00:00:12,0,"0,00 %","50,00 %","0,00 US$"
2,00:12:46,0,"0,00 %","50,00 %","0,00 US$"
2,00:11:07,0,"0,00 %","0,00 %","0,00 US$"
2,00:00:43,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:48,0,"0,00 %","50,00 %","0,00 US$"
1,00:01:04,0,"0,00 %","0,00 %","0,00 US$"
2,00:00:59,0,"0,00 %","0,00 %","0,00 US$"
2,00:00:11,0,"0,00 %","0,00 %","0,00 US$"
2,00:00:21,0,"0,00 %","50,00 %","0,00 US$"
2,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
1,00:00:58,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:15,0,"0,00 %","0,00 %","0,00 US$"
1,00:04:59,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:49,0,"0,00 %","50,00 %","0,00 US$"
2,00:00:17,0,"0,00 %","0,00 %","0,00 US$"
1,00:00:21,0,"0,00 %","0,00 %","0,00 US$"
2,00:00:10,0,"0,00 %","50,00 %","0,00 US$"
2,00:09:24,0,"0,00 %","0,00 %","0,00 US$"
