gabrielapistek,administracion,estado-cuenta,4,4,00:05:41,0,"0
guelcom,administracion,estado-cuenta,4,3,00:00:20,0,"0
guizaviajes,administracion,estado-cuenta,4,3,00:00:21,0,"0
himalayaviajessalta,administracion,estado-cuenta,4,4,00:00:09,0,"0
hubelamviajes,administracion,estado-cuenta,4,3,00:03:39,0,"0
julietabistaccoviajes,administracion,estado-cuenta,4,4,00:00:36,0,"0
mioturismo,administracion,estado-cuenta,tipo,productos,4,1,00:01:11
morellaviajes,administracion,estado-cuenta,4,3,00:02:18,0,"0
mutualfederada25dejunio,administracion,estado-cuenta,4,4,00:00:06,0,"0
nikanttoursaoff,administracion,estado-cuenta,4,2,00:02:35,0,"0
piguetours,administracion,estado-cuenta,4,3,00:01:26,0,"0
policlinicomodelodecipolletti,administracion,estado-cuenta,4,4,00:00:07,0,"0
pymviajes,administracion,estado-cuenta,4,4,00:00:08,0,"0
renatasoledadalavrezmassara,administracion,estado-cuenta,4,4,00:00:07,0,"0
sebastianviajes,administracion,estado-cuenta,4,4,00:00:11,0,"0
siddarthaviajes,administracion,estado-cuenta,4,3,00:00:09,0,"0
silmare,administracion,estado-cuenta,4,3,00:02:03,0,"0
travelsupport,administracion,estado-cuenta,4,2,00:02:39,0,"0
turcenviajes,administracion,estado-cuenta,4,2,00:00:14,0,"0
turismovittorio,administracion,estado-cuenta,4,3,00:00:13,0,"0
victoriagrunig,administracion,estado-cuenta,4,3,00:03:38,0,"0
waymeaviajes,administracion,estado-cuenta,4,2,00:00:27,0,"0
asociacionmutualredsolidaria,administracion,estado-cuenta,3,2,00:01:23,0,"0
avallone,administracion,estado-cuenta,3,1,00:00:30,0,"0
brooklynviajesyturismo,administracion,estado-cuenta,3,3,00:00:27,0,"0
cambex,administracion,estado-cuenta,3,3,00:00:17,0,"0
chelseatravel,administracion,estado-cuenta,3,2,00:16:13,0,"0
citadelviajesevt,administracion,estado-cuenta,3,3,00:00:00,0,"0
coloresdeargentina,administracion,estado-cuenta,3,2,00:00:04,0,"0
delfos,administracion,estado-cuenta,tipo,productos,3,3,00:00:09
dubaiviajesgralpaz,administracion,estado-cuenta,3,3,00:15:02,0,"0
eljesuita,administracion,estado-cuenta,3,2,00:08:34,0,"0
galfras,administracion,estado-cuenta,3,3,00:00:19,0,"0
garciaferrerfranquiciadelozadaviajes,administracion,estado-cuenta,3,3,00:17:37,0,"0
guiadeviajesoperadordetur,administracion,estado-cuenta,3,2,00:03:53,0,"0
halfcitytravel,administracion,estado-cuenta,3,3,00:00:04,0,"0
herodiana,administracion,estado-cuenta,3,2,00:00:17,0,"0
intercambiotour,administracion,estado-cuenta,3,2,00:01:18,0,"0
juanpabloloconte,administracion,estado-cuenta,3,1,00:00:11,0,"0
locasporlaaventura,administracion,estado-cuenta,3,2,00:00:07,0,"0
lozadasolapizzi,administracion,estado-cuenta,3,3,00:00:12,0,"0
lunaroja,administracion,estado-cuenta,3,2,00:00:27,0,"0
malawi,administracion,estado-cuenta,3,3,00:00:05,0,"0
margaritastuketurismo,administracion,estado-cuenta,3,2,00:05:37,0,"0
nantestour,administracion,estado-cuenta,3,2,00:00:10,0,"0
nikanttour,administracion,estado-cuenta,3,2,00:01:34,0,"0
ohanaviajes,administracion,estado-cuenta,3,1,00:00:23,0,"0
ortubiatravel,administracion,estado-cuenta,3,3,00:00:19,0,"0
othonviajes,administracion,estado-cuenta,tipo,productos,3,3,00:00:07
poluxtravel,administracion,estado-cuenta,3,2,00:00:07,0,"0
promosquevuelan,administracion,estado-cuenta,3,2,00:00:08,0,"0
