# ----------------------------------------
# Vista de Usuarios
# Vuelos por agencia sin DELFOS
# 20201028-20201028
# ----------------------------------------

Página,Número de visitas a páginas,Número de páginas vistas únicas,Promedio de tiempo en la página,Entradas,Porcentaje de rebote,Porcentaje de salidas,Valor de página
/es/delfos/hoteles/resultados/3798/0/foz-de-iguazu-brasil/11-01-2021/12-01-2021?h1=2,1,1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
"/es/delfos/hoteles/resultados/3800/0/iguazu-argentina/12-04-2021/15-04-2021?h1=2-15,11",1,1,00:00:21,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/3800/0/iguazu-argentina/12-04-2021/15-04-2021?h1=4,1,1,00:04:38,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/3800/0/iguazu-argentina/24-03-2021/29-03-2021?h1=2,1,1,00:26:52,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/5527/0/mar-del-plata-argentina/02-02-2021/09-02-2021?h1=2,1,1,00:24:28,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/5752/0/mendoza-argentina/21-03-2021/28-03-2021?h1=2,1,1,00:11:40,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/5972/0/montego-bay-jamaica/01-06-2021/08-06-2021?h1=3,1,1,00:17:24,1,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/5972/0/montego-bay-jamaica/01-09-2021/08-09-2021?h1=3,1,1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
/es/delfos/hoteles/resultados/5972/0/montego-bay-jamaica/04-05-2021/11-05-2021?h1=3,1,1,00:00:29,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/5972/0/montego-bay-jamaica/09-06-2021/16-06-2021?h1=3,1,1,00:00:47,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/5981/0/montevideo-uruguay/09-09-2021/13-09-2021?h1=1,1,1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
/es/delfos/hoteles/resultados/6305/0/natal-brasil/04-01-2021/12-01-2021?h1=2,1,1,00:17:52,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/7200/0/playa-del-carmenriviera-maya-mexico/05-12-2020/10-12-2020?h1=2&h2=2,1,1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
/es/delfos/hoteles/resultados/7200/0/playa-del-carmenriviera-maya-mexico/07-10-2021/14-10-2021?h1=2,1,1,00:02:27,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/7200/0/playa-del-carmenriviera-maya-mexico/08-11-2021/15-11-2021?h1=2,1,1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
