Cliente,SECTOR NEGOCIO,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/1/2020,10/1/2020,11/1/2020,12/1/2020,1/1/2021,Total general,,,
ONE TRIP CARLOS PAZ,AÉREO,56.67,168.48,,,,,,"1,183.02",,144.39,"4,092.22","1,609.91","7,254.69",Mediano,Frecuente,
ONE TRIP CARLOS PAZ,TERRESTRE,403.24,,,,,"1,155.00","4,050.00","5,802.00",,"5,522.79",794.27,"2,111.91","19,839.21",Mediano,Frecuente,
NAMUR VIAJES,AÉREO,"12,960.48",529.53,,,,,,,866.31,,"3,639.79",,"17,996.11",Mediano,Poco Frecuente,
NAMUR VIAJES,TERRESTRE,"2,450.38",,712.56,,,"3,310.00",,,,,"2,111.00",,"8,583.94",Mediano,Poco Frecuente,
GAFAMEL VIAJES Y TURIS,AÉREO,,,,,,734.90,,"1,111.86","7,657.20",346.12,"16,460.43",,"26,310.51",Mediano,Frecuente,Contactar
GAFAMEL VIAJES Y TURIS,TERRESTRE,,,,,,,,,,,,38.89,38.89,Pequeño,Poco Frecuente,
GRUPO ROL-SOL-OPERADOR,AÉREO,"15,217.97","10,155.63",,,,,,,,,,,"25,373.60",Mediano,Poco Frecuente,
TIERRA SOÑADA VIAJES Y,AÉREO,"3,886.77",342.72,,,,"4,498.69",,,,,,,"8,728.18",Mediano,Poco Frecuente,
TIERRA SOÑADA VIAJES Y,TERRESTRE,"1,150.37",,"8,755.82",,,"1,884.50","3,913.97",,,,,939.30,"16,643.96",Mediano,Frecuente,
MOBIUS VIAJES,AÉREO,"1,612.00",646.57,,,,"1,530.59","2,891.49",,,,"1,818.09",,"8,498.74",Mediano,Frecuente,Contactar
MOBIUS VIAJES,TERRESTRE,,"2,048.31",,,,,"11,594.51","1,309.23","1,689.10",,,,"16,641.15",Mediano,Poco Frecuente,
27 GRADOS,AÉREO,"13,891.95","2,791.35",,,,,,,,,,,"16,683.31",Mediano,Poco Frecuente,
27 GRADOS,TERRESTRE,597.80,,"5,284.96",,541.77,,"1,460.65",,,,,,"7,885.18",Mediano,Poco Frecuente,
